yole;commune;etape;temps_s
Zandoli;Le Robert;1;3160
Ti-Kanno;Le François;1;3487
Manman Dlo;Sainte-Marie;1;3149
Kolibri;Le Vauclin;1;3330
Fwomajé;Trinité;1;3581
Soleil Levan;Le Diamant;1;3541
Madinina;Fort-de-France;1;3110
Bèlè;Sainte-Anne;1;3397
Zandoli;Le Robert;2;3292
Ti-Kanno;Le François;2;3218
Manman Dlo;Sainte-Marie;2;3465
Kolibri;Le Vauclin;2;3361
Fwomajé;Trinité;2;3565
Soleil Levan;Le Diamant;2;3270
Madinina;Fort-de-France;2;3565
Bèlè;Sainte-Anne;2;3100
Zandoli;Le Robert;3;3219
Ti-Kanno;Le François;3;3361
Manman Dlo;Sainte-Marie;3;3146
Kolibri;Le Vauclin;3;3591
Fwomajé;Trinité;3;3341
Soleil Levan;Le Diamant;3;3307
Madinina;Fort-de-France;3;3394
Bèlè;Sainte-Anne;3;3335
Zandoli;Le Robert;4;3214
Ti-Kanno;Le François;4;3195
Manman Dlo;Sainte-Marie;4;3244
Kolibri;Le Vauclin;4;3164
Fwomajé;Trinité;4;3519
Soleil Levan;Le Diamant;4;3423
Madinina;Fort-de-France;4;3157
Bèlè;Sainte-Anne;4;3359
